CountryShortName,Year,IndicatorName,Value
Bangladesh,2022.0,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",212945218.888261
Bangladesh,2023.0,"Gross PSD, Total, Short-term, Loans, Nominal Value, US$",240213240.466799
Bangladesh,2021.0,"Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$",1388537598.68111
Bangladesh,2022.0,"Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$",1405328785.89877
Bangladesh,2023.0,"Gross PSD, Total, Short-term, Other accounts payable, Nominal Value, US$",1020822606.43856
Bangladesh,2021.0,"Gross PSD, Total, Short-term, All instruments, Nominal Value, US$",41092999614.1835
Bangladesh,2022.0,"Gross PSD, Total, Short-term, All instruments, Nominal Value, US$",40614117143.7822
Bangladesh,2023.0,"Gross PSD, Total, Short-term, All instruments, Nominal Value, US$",36800888169.4342
Canada,2021.0,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",3252113442264.86
Canada,2022.0,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",3219688716053.09
Canada,2023.0,"Gross PSD, Total, All maturities, All instruments, Domestic creditors, Nominal Value, US$",3180576941751.45
Canada,2021.0,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",3252113442264.86
Canada,2022.0,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",3219688716053.09
Canada,2023.0,"Gross PSD, Total, All maturities, All instruments, Nominal Value, US$",3180576941751.45
Canada,2021.0,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",634273854201.89
Canada,2022.0,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",635097726901.628
Canada,2023.0,"Gross PSD, Total, All maturities, All instruments, External creditors, Nominal Value, US$",642389821549.043
Canada,2021.0,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$",414026430685.02
Canada,2022.0,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$",350983820202.311
Canada,2023.0,"Gross PSD, Total, All maturities, Currency and deposits, Nominal Value, US$",286067765450.139
Canada,2021.0,"Gross PSD, Total, All maturities, Debt Securities, Market value, US$",2205784780915.55
Canada,2022.0,"Gross PSD, Total, All maturities, Debt Securities, Market value, US$",1989777667730.23
